Tags,Bits leitor->tag,Bits tag->leitor,iteracoes
100,2306,860,,287
200,5231,957,,578
300,8345,1014,,866
400,11584,1053,,1154
500,14929,1083,,1442
600,18389,1109,,1732
700,21894,1130,,2019
800,25479,1149,,2308
900,29115,1165,,2597
1000,32711,1179,,2881
