Tags,Frames,Colis�es,Vazios,Tempo,Slots
100,60,152,,312
200,138,316,,655
300,193,546,,1040
400,198,1304,,1902
500,163,2056,,2720
600,160,2314,,3074
700,181,2398,,3279
800,214,2443,,3457
900,251,2488,,3640
1000,294,2533,,3828
